2024-01-25 14:03:08 1 archives install
2024-01-25 14:03:08 1 base-passwd:amd64 <none> 3.5.52build1
2024-01-25 14:03:08 1 half-installed base-passwd:amd64 3.5.52build1
2024-01-25 14:03:08 1 installed base-passwd:amd64 3.5.52build1
2024-01-25 14:03:08 1 archives install
2024-01-25 14:03:08 1 base-files:amd64 <none> 12ubuntu4
2024-01-25 14:03:08 1 half-installed base-files:amd64 12ubuntu4
2024-01-25 14:03:08 1 installed base-files:amd64 12ubuntu4
2024-01-25 14:03:08 1 archives install
2024-01-25 14:03:08 1 half-installed dpkg 1.21.1ubuntu2
2024-01-25 14:03:09 1 installed dpkg:amd64 1.21.1ubuntu2
2024-01-25 14:03:09 1 archives install
2024-01-25 14:03:09 1 libc6:amd64 <none> 2.35-0ubuntu3
2024-01-25 14:03:09 1 half-installed libc6:amd64 2.35-0ubuntu3
2024-01-25 14:03:09 1 installed libc6:amd64 2.35-0ubuntu3
2024-01-25 14:03:09 1 archives install
2024-01-25 14:03:09 1 perl-base:amd64 <none> 5.34.0-3ubuntu1
2024-01-25 14:03:09 1 half-installed perl-base:amd64 5.34.0-3ubuntu1
2024-01-25 14:03:09 1 installed perl-base:amd64 5.34.0-3ubuntu1
2024-01-25 14:03:09 1 archives install
2024-01-25 14:03:09 1 mawk:amd64 <none> 1.3.4.20200120-3
2024-01-25 14:03:09 1 half-installed mawk:amd64 1.3.4.20200120-3
2024-01-25 14:03:09 1 installed mawk:amd64 1.3.4.20200120-3
2024-01-25 14:03:09 1 half-installed base-files:amd64 12ubuntu4
2024-01-25 14:03:09 1 half-installed base-passwd:amd64 3.5.52build1
2024-01-25 14:03:09 1 bash:amd64 <none> 5.1-6ubuntu1
2024-01-25 14:03:09 1 half-installed bash:amd64 5.1-6ubuntu1
2024-01-25 14:03:09 1 bsdutils:amd64 <none> 1:2.37.2-4ubuntu3
2024-01-25 14:03:09 1 half-installed bsdutils:amd64 1:2.37.2-4ubuntu3
2024-01-25 14:03:09 1 coreutils:amd64 <none> 8.32-4.1ubuntu1
2024-01-25 14:03:09 1 half-installed coreutils:amd64 8.32-4.1ubuntu1
2024-01-25 14:03:09 1 dash:amd64 <none> 0.5.11+git20210903+057cd650a4ed-3build1
2024-01-25 14:03:09 1 half-installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-01-25 14:03:09 1 debconf:all <none> 1.5.79ubuntu1
2024-01-25 14:03:09 1 half-installed debconf:all 1.5.79ubuntu1
2024-01-25 14:03:09 1 debianutils:amd64 <none> 5.5-1ubuntu2
2024-01-25 14:03:09 1 half-installed debianutils:amd64 5.5-1ubuntu2
2024-01-25 14:03:09 1 diffutils:amd64 <none> 1:3.8-0ubuntu2
2024-01-25 14:03:09 1 half-installed diffutils:amd64 1:3.8-0ubuntu2
2024-01-25 14:03:09 1 half-installed dpkg:amd64 1.21.1ubuntu2
2024-01-25 14:03:10 1 e2fsprogs:amd64 <none> 1.46.5-2ubuntu1
2024-01-25 14:03:10 1 half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:10 1 findutils:amd64 <none> 4.8.0-1ubuntu3
2024-01-25 14:03:10 1 half-installed findutils:amd64 4.8.0-1ubuntu3
2024-01-25 14:03:10 1 gcc-12-base:amd64 <none> 12-20220319-1ubuntu1
2024-01-25 14:03:10 1 half-installed gcc-12-base:amd64 12-20220319-1ubuntu1
2024-01-25 14:03:10 1 grep:amd64 <none> 3.7-1build1
2024-01-25 14:03:10 1 half-installed grep:amd64 3.7-1build1
2024-01-25 14:03:10 1 gzip:amd64 <none> 1.10-4ubuntu4
2024-01-25 14:03:10 1 half-installed gzip:amd64 1.10-4ubuntu4
2024-01-25 14:03:10 1 hostname:amd64 <none> 3.23ubuntu2
2024-01-25 14:03:10 1 half-installed hostname:amd64 3.23ubuntu2
2024-01-25 14:03:10 1 init-system-helpers:all <none> 1.62
2024-01-25 14:03:10 1 half-installed init-system-helpers:all 1.62
2024-01-25 14:03:10 1 libacl1:amd64 <none> 2.3.1-1
2024-01-25 14:03:10 1 half-installed libacl1:amd64 2.3.1-1
2024-01-25 14:03:10 1 libattr1:amd64 <none> 1:2.5.1-1build1
2024-01-25 14:03:10 1 half-installed libattr1:amd64 1:2.5.1-1build1
2024-01-25 14:03:10 1 libaudit-common:all <none> 1:3.0.7-1build1
2024-01-25 14:03:10 1 half-installed libaudit-common:all 1:3.0.7-1build1
2024-01-25 14:03:10 1 libaudit1:amd64 <none> 1:3.0.7-1build1
2024-01-25 14:03:10 1 half-installed libaudit1:amd64 1:3.0.7-1build1
2024-01-25 14:03:10 1 libblkid1:amd64 <none> 2.37.2-4ubuntu3
2024-01-25 14:03:10 1 half-installed libblkid1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:10 1 libbz2-1.0:amd64 <none> 1.0.8-5build1
2024-01-25 14:03:10 1 half-installed libbz2-1.0:amd64 1.0.8-5build1
2024-01-25 14:03:10 1 libc-bin:amd64 <none> 2.35-0ubuntu3
